Episode,Average Reward
1,-0.04334375
2,-0.043847656250000006
3,-0.04249609374999998
4,-0.042414062499999974
5,-0.042683593749999985
6,-0.043722656249999985
7,-0.04496484374999998
8,-0.043628906250000016
9,-0.04312109375000002
10,-0.04567578125000001
11,-0.04310937500000001
12,-0.043738281249999976
13,-0.041515625
14,-0.043031250000000014
15,-0.04514453125000002
16,-0.04517968749999997
17,-0.04437109374999997
18,-0.043546875000000006
19,-0.041566406250000035
20,-0.043562500000000004
21,-0.043273437500000005
22,-0.041515625000000035
23,-0.041328125000000014
24,-0.042652343750000044
25,-0.04246875000000001
26,-0.043554687500000015
27,-0.041261718750000016
28,-0.04220703125
29,-0.045035156249999965
30,-0.042550781249999975
31,-0.041839843749999994
32,-0.04372265625000003
33,-0.04076953124999997
34,-0.04439843749999999
35,-0.03905078124999997
36,-0.04286718749999999
37,-0.044308593749999986
38,-0.04280468750000001
39,-0.043953124999999975
40,-0.043367187499999994
41,-0.03820703125
42,-0.04187109375
43,-0.040089843750000013
44,-0.040367187500000005
45,-0.04278515625
46,-0.04112109374999999
47,-0.042382812499999964
48,-0.04302734374999997
49,-0.043988281250000004
50,-0.04223437500000001
51,-0.041121093750000004
52,-0.042308593750000026
53,-0.042347656250000025
54,-0.045714843749999984
55,-0.042679687499999994
56,-0.038492187500000025
57,-0.04026953125000005
58,-0.040574218750000016
59,-0.04142578125000002
60,-0.04264453124999998
61,-0.042562499999999996
62,-0.043636718750000004
63,-0.03999609374999997
64,-0.03919140624999999
65,-0.04211328124999996
66,-0.04032031250000006
67,-0.042089843749999994
68,-0.04277343749999998
69,-0.040460937500000044
70,-0.04264843750000002
71,-0.04123828124999998
72,-0.043105468749999966
73,-0.04161718749999998
74,-0.039949218750000015
75,-0.04208984375000001
76,-0.04277734375000002
77,-0.0423828125
78,-0.041984375
79,-0.04234765625000003
80,-0.041367187499999986
81,-0.04057421874999999
82,-0.04129687500000002
83,-0.04315234374999998
84,-0.042378906250000015
85,-0.04292968749999999
86,-0.04008593750000004
87,-0.04513281250000004
88,-0.041980468750000034
89,-0.043601562500000024
90,-0.039878906250000054
91,-0.041453125000000035
92,-0.04183984375000002
93,-0.04071875000000004
94,-0.03706640624999999
95,-0.04143750000000004
96,-0.039015625000000026
97,-0.04169140625
98,-0.04032812500000003
99,-0.039652343750000006
100,-0.042503906249999994
101,-0.03960937500000001
102,-0.04363671875
103,-0.0419921875
104,-0.04300390625
105,-0.04014453124999997
106,-0.038546874999999974
107,-0.04402734375000003
108,-0.04169531249999999
109,-0.04107812500000002
110,-0.03888671875000003
111,-0.040867187500000034
112,-0.04204296875000001
113,-0.03697265625000004
114,-0.04130468749999998
115,-0.04024609375000005
116,-0.04139843750000001
117,-0.038882812499999996
118,-0.04346874999999999
119,-0.03723437500000001
120,-0.03729296874999997
121,-0.042371093750000026
122,-0.04081640625000002
123,-0.04309374999999999
124,-0.03998828125000003
125,-0.03556250000000001
126,-0.0446875
127,-0.04169531249999996
128,-0.04143749999999999
129,-0.03885546875000004
130,-0.04174218750000003
131,-0.03819531250000003
132,-0.04014453124999999
133,-0.040785156249999996
134,-0.041152343750000056
135,-0.04163281249999999
136,-0.04106250000000002
137,-0.04182812499999999
138,-0.041187499999999995
139,-0.040855468749999985
140,-0.03952734375000001
141,-0.04412890625
142,-0.041621093750000004
143,-0.039058593750000016
144,-0.04196093750000004
145,-0.040011718749999994
146,-0.040863281250000036
147,-0.04157812499999999
148,-0.03740234375000004
149,-0.04040624999999999
150,-0.03910937500000001
151,-0.04205859375
152,-0.041453125
153,-0.039410156249999974
154,-0.03762499999999997
155,-0.03533203124999997
156,-0.03850000000000003
157,-0.03755078124999998
158,-0.039519531249999976
159,-0.04164843750000002
160,-0.03999218750000001
161,-0.039093750000000003
162,-0.03825390625000004
163,-0.042269531250000006
164,-0.03823828125000002
165,-0.03741015625000002
166,-0.03626953125000001
167,-0.036281250000000036
168,-0.040207031250000025
169,-0.04341796874999997
170,-0.042347656250000046
171,-0.041570312499999984
172,-0.04219531249999999
173,-0.04246875000000003
174,-0.04093359374999998
175,-0.03950000000000003
176,-0.03708984375000002
177,-0.04030859375000006
178,-0.04163281249999999
179,-0.040281250000000025
180,-0.03730468750000004
181,-0.03775390624999999
182,-0.04089062499999997
183,-0.03466406250000001
184,-0.03960546875000003
185,-0.038394531250000044
186,-0.039953125000000055
187,-0.035242187500000015
188,-0.041574218750000023
189,-0.036273437500000026
190,-0.04114843750000004
191,-0.035300781250000045
192,-0.03960546875
193,-0.04075781250000003
194,-0.03965625000000001
195,-0.04089843750000001
196,-0.03046484375000002
197,-0.03706250000000001
198,-0.04137890625000003
199,-0.039160156250000015
200,-0.04044531250000002
201,-0.038765625000000005
202,-0.037980468750000024
203,-0.03249609375000001
204,-0.030992187500000015
205,-0.033152343749999987
206,-0.03183593750000001
207,-0.0427890625
208,-0.033128906250000006
209,-0.03880078125000002
210,-0.032507812500000045
211,-0.028757812499999993
212,-0.039363281250000014
213,-0.03242578125
214,-0.03280468749999999
215,-0.04007031250000004
216,-0.03839843750000003
217,-0.03851953124999998
218,-0.039058593749999995
219,-0.02937890624999999
220,-0.04181640625
221,-0.03850390625
222,-0.041066406250000013
223,-0.04085937500000004
224,-0.03005078125000002
225,-0.04150390625
226,-0.03708593750000004
227,-0.040085937500000016
228,-0.030945312500000002
229,-0.03528125
230,-0.036960937499999985
231,-0.036203125000000023
232,-0.03215234374999999
233,-0.028031250000000008
234,-0.027742187500000005
235,-0.03445312499999999
236,-0.037511718749999985
237,-0.04273046875000001
238,-0.02623437499999999
239,-0.025027343750000004
240,-0.022570312499999995
241,-0.030468750000000003
242,-0.03937890624999997
243,-0.031140624999999988
244,-0.036878906249999996
245,-0.03842187500000001
246,-0.04012500000000002
247,-0.038136718750000013
248,-0.02900390625000001
249,-0.03962499999999998
250,-0.030632812499999985
251,-0.039890625000000055
252,-0.038722656250000015
253,-0.04081640624999998
254,-0.03203906250000002
255,-0.03208593749999999
256,-0.030375000000000006
257,-0.023320312499999992
258,-0.028964843749999993
259,-0.02962890624999999
260,-0.02058984375000001
261,-0.041863281250000065
262,-0.034324218749999975
263,-0.03187109375000001
264,-0.028449218749999974
265,-0.02388671875
266,-0.038898437499999994
267,-0.026222656249999993
268,-0.040230468750000054
269,-0.020871093749999993
270,-0.023519531250000014
271,-0.02814843749999999
272,-0.028015625000000006
273,-0.02803125
274,-0.03750390624999999
275,-0.02935156249999998
276,-0.020441406249999995
277,-0.03518750000000001
278,-0.027007812500000002
279,-0.024171875000000016
280,-0.012160156249999991
281,-0.019804687499999994
282,-0.03369531250000001
283,-0.03272656249999999
284,-0.03144140625000001
285,-0.02686718749999999
286,-0.02334765624999999
287,-0.027835937499999998
288,-0.028183593750000027
289,-0.020949218749999998
290,-0.028042968749999987
291,-0.032234374999999996
292,-0.021644531249999998
293,-0.021167968749999967
294,-0.01587109374999998
295,-0.028515625000000027
296,-0.016445312499999993
297,-0.02848828125000002
298,-0.02683203124999999
299,-0.028152343750000027
300,-0.024984374999999993
301,-0.027046874999999974
302,-0.021839843750000004
303,-0.009511718749999993
304,-0.018046874999999993
305,-0.022476562500000002
306,-0.021765625000000004
307,-0.013582031250000003
308,-0.0331875
309,-0.022855468749999996
310,-0.01266796875
311,-0.025722656249999993
312,-0.00833984375
313,-0.026636718749999965
314,-0.03152734375000001
315,-0.02025
316,-0.009945312499999985
317,-0.013999999999999988
318,-0.010679687499999993
319,-0.01350781249999999
320,-0.026949218749999972
321,-0.006417968749999999
322,-0.00871874999999999
323,-0.03076171875
324,-0.005335937500000002
325,-0.008351562499999991
326,-0.03397656250000002
327,-0.005046875
328,-0.013390624999999993
329,-0.006011718749999997
330,-0.005484374999999994
331,-0.014347656249999998
332,-0.022445312499999998
333,-0.02712109375
334,-0.02232421874999998
335,-0.00901562499999998
336,-0.026351562499999974
337,-0.012839843749999963
338,-0.012617187499999983
339,-0.01017187499999999
340,-0.02206640625
341,-0.011562499999999996
342,-0.0174453125
343,-0.009999999999999988
344,-0.006183593749999996
345,-0.00948046875
346,-0.008292968749999987
347,-0.0067851562499999995
348,-0.006648437500000002
349,-0.015359374999999996
350,-0.010117187499999984
351,-0.008
352,-0.008597656249999999
353,-0.03656640625
354,-0.01467187499999999
355,-0.01156640624999999
356,-0.010785156249999992
357,-0.003425781250000002
358,-0.013906249999999985
359,-0.009023437499999993
360,-0.019316406250000005
361,-0.008242187499999996
362,-0.008445312499999998
363,-0.014617187499999998
364,-0.039374999999999986
365,-0.007664062499999997
366,-0.0058671875
367,-0.02487890625000001
368,-0.01389453125
369,-0.0017578125
370,-0.03581640624999998
371,-0.006671874999999995
372,-0.0060625
373,-0.015242187500000002
374,-0.008359374999999994
375,-0.015414062499999985
376,-0.014644531249999997
377,-0.00980078124999998
378,-0.025269531249999994
379,-0.011632812499999992
380,-0.008968749999999994
381,-0.008867187499999998
382,-0.01430078124999999
383,-0.01748828124999998
384,-0.004828124999999997
385,-0.0080859375
386,-0.010507812499999988
387,-0.00831640624999999
388,-0.004433593750000002
389,-0.008265625
390,-0.005738281250000001
391,-0.004917968749999997
392,-0.01301953125
393,-0.013984374999999999
394,-0.014136718749999989
395,-0.007843749999999997
396,-0.012132812499999977
397,-0.010972656250000004
398,-0.010683593749999998
399,-0.017718749999999988
400,-0.004746093749999999
401,-0.004085937500000002
402,-0.006031249999999998
403,-0.014644531249999999
404,-0.005238281249999999
405,-0.02069140625000001
406,-0.010226562499999998
407,-0.014203124999999976
408,-0.00961328125
409,-0.015140625000000001
410,-0.00642578125
411,-0.008445312499999986
412,-0.0073046875
413,-0.006757812499999998
414,-0.009679687499999994
415,-0.0065234374999999945
416,-0.004847656249999998
417,-0.004394531250000003
418,-0.0065703125000000015
419,-0.012343749999999992
420,-0.007710937499999995
421,-0.0038437500000000025
422,-0.004789062500000001
423,-0.002492187500000001
424,-0.004441406249999999
425,-0.010906249999999998
426,-0.015585937499999982
427,-0.004445312500000003
428,-0.010839843749999986
429,-0.004558593750000003
430,-0.0050976562500000015
431,-0.013710937499999984
432,-0.005070312500000001
433,-0.005601562500000001
434,-0.007488281249999998
435,-0.007007812500000003
436,-0.004757812500000003
437,-0.006351562500000005
438,-0.0014414062500000004
439,-0.005320312500000002
440,-0.002019531250000001
441,-0.005304687500000004
442,-0.0029257812500000017
443,-0.011906249999999976
444,-0.006273437500000005
445,-0.0014882812500000005
446,-0.004000000000000002
447,-0.024164062499999986
448,-0.007445312500000003
449,-0.001992187500000001
450,-0.006804687499999999
451,-0.0017656250000000003
452,-0.024824218749999995
453,-0.005257812500000002
454,-0.004914062500000003
455,-0.0032187500000000016
456,-0.0031132812500000015
457,-0.005777343750000001
458,-0.01586718749999999
459,-0.004914062500000003
460,-0.005007812500000004
461,-0.014320312499999998
462,-0.004136718750000002
463,-0.002207031250000001
464,-0.004601562500000003
465,-0.004210937500000003
466,-0.0038046875000000025
467,-0.003984375000000003
468,-0.011554687499999992
469,-0.007496093750000003
470,-0.0034296875000000026
471,-0.0015703125000000005
472,-0.0038046875000000025
473,-0.002976562500000001
474,-0.013894531249999998
475,-0.0034453125000000026
476,-0.0077734375000000034
477,-0.0014257812500000004
478,-0.011191406249999999
479,-0.004871093750000003
480,-0.004570312500000003
481,-0.003820312500000003
482,-0.004023437500000003
483,-0.007054687500000001
484,-0.005257812500000003
485,-0.004203125000000003
486,-0.0034140625000000026
487,-0.0037226562500000024
488,-0.0020820312500000005
489,-0.0036015625000000028
490,-0.0016171875000000001
491,-0.004726562500000003
492,-0.0023671875000000012
493,-0.002679687500000002
494,-0.001726562500000001
495,-0.0048203125000000025
496,-0.0015195312500000007
497,-0.0036171875000000028
498,-0.005968750000000002
499,-0.0031171875000000023
500,-0.003687500000000003
501,-0.0020742187500000005
502,-0.0031015625000000023
503,-0.003792968750000002
504,-0.0039023437500000026
505,-0.0054375000000000005
506,-0.0018710937500000004
507,-0.0035703125000000027
508,-0.011624999999999983
509,-0.001781250000000001
510,-0.018242187500000003
511,-0.0012460937500000002
512,-0.0020820312500000005
