corpus_size,run,episode,avg_reward
5,1,1,-0.0026234375000000003
5,1,2,-0.0028109375000000022
5,1,3,-0.0018648437500000015
5,1,4,-0.004750000000000002
5,1,5,-0.0012007812499999998
5,1,6,-0.005396874999999997
5,1,7,-0.004661718749999999
5,1,8,-0.00458203125
5,1,9,-0.006782031249999997
5,1,10,-0.005042968749999997
5,1,11,-0.003387500000000004
5,1,12,-0.002425000000000002
5,1,13,-0.0039875000000000015
5,1,14,-0.0022351562500000006
5,1,15,-0.004629687499999998
5,1,16,-0.006525781249999996
5,1,17,-0.002942968750000002
5,1,18,-0.002430468750000002
5,1,19,-0.0036875000000000037
5,1,20,-0.0015992187500000002
5,1,21,-0.0010703124999999988
5,1,22,-0.004196093750000001
5,1,23,-0.0038507812500000013
5,1,24,-0.0025445312500000017
5,1,25,-0.004886718749999996
5,1,26,-0.002961718750000002
5,1,27,-0.004859375
5,1,28,-0.004779687500000001
5,1,29,-0.0020093749999999994
5,1,30,-0.0037929687500000042
5,1,31,-0.005589062499999995
5,1,32,-0.0043984375000000004
5,1,33,-0.0039718750000000014
5,1,34,-0.0020703125000000014
5,1,35,-0.0035585937500000027
5,1,36,-0.004691406249999997
5,1,37,-0.00223671875
5,1,38,-0.0029578125000000025
5,1,39,-0.003228125000000001
5,1,40,-0.004378125000000001
5,1,41,-0.0036250000000000015
5,1,42,-0.003166406250000001
5,1,43,-0.0028296875000000028
5,1,44,-0.0024289062500000005
5,1,45,-0.0029617187500000025
5,1,46,-0.00734609374999999
5,1,47,-0.0037203125000000027
5,1,48,-0.0036781250000000017
5,1,49,-0.0035804687500000008
5,1,50,-0.005742187499999995
5,1,51,-0.003652343750000002
5,1,52,-0.001896875
5,1,53,-0.004140625000000001
5,1,54,-0.003109375000000002
5,1,55,-0.004731250000000001
5,1,56,-0.0027453125000000017
5,1,57,-0.0014117187500000009
5,1,58,-0.004391406250000002
5,1,59,-0.005279687499999999
5,1,60,-0.0023210937500000007
5,1,61,-0.0021531249999999992
5,1,62,-0.004077343750000002
5,1,63,-0.0053726562500000016
5,1,64,-0.004529687499999998
5,1,65,-0.0022210937500000013
5,1,66,-0.0039171875000000075
5,1,67,-0.004935156250000001
5,1,68,-0.003217187500000002
5,1,69,-0.0027914062500000014
5,1,70,-0.0032242187500000027
5,1,71,-0.00264375
5,1,72,-0.0031281250000000016
5,1,73,-0.003246093750000001
5,1,74,-0.004247656250000001
5,1,75,-0.003514843750000002
5,1,76,-0.0047632812499999976
5,1,77,-0.004266406249999999
5,1,78,-0.0020921875000000007
5,1,79,-0.0042789062500000015
5,1,80,-0.0037765625000000013
5,1,81,-0.002695312500000001
5,1,82,-0.0043
5,1,83,-0.0029781250000000003
5,1,84,-0.0026492187499999997
5,1,85,-0.0076062499999999976
5,1,86,-0.004109375000000001
5,1,87,-0.0032265625000000024
5,1,88,-0.004389843750000002
5,1,89,-0.002217187500000001
5,1,90,-0.0035039062500000027
5,1,91,-0.002863281250000002
5,1,92,-0.0022335937499999995
5,1,93,-0.0018437500000000003
5,1,94,-0.004100781250000002
5,1,95,-0.003902343750000003
5,1,96,-0.0047421875
5,1,97,-0.005028124999999998
5,1,98,-0.0036781250000000034
5,1,99,-0.004617187500000002
5,1,100,-0.0018859375000000007
5,1,101,-0.0032203125000000023
5,1,102,-0.0018515625
5,1,103,-0.007569531249999986
5,1,104,-0.00318359375
5,1,105,-0.0026929687500000005
5,1,106,-0.004584374999999999
5,1,107,-0.0044398437499999985
5,1,108,-0.0021226562500000013
5,1,109,-0.0027304687500000016
5,1,110,-0.004491406249999998
5,1,111,-0.0027695312500000016
5,1,112,-0.003092187500000002
5,1,113,-0.0035210937500000034
5,1,114,-0.0027039062500000023
5,1,115,-0.0037406250000000035
5,1,116,-0.003739062500000005
5,1,117,-0.0029171875000000014
5,1,118,-0.002191406250000001
5,1,119,-0.004829687499999997
5,1,120,-0.003226562500000004
5,1,121,-0.003883593750000004
5,1,122,-0.006222656249999996
5,1,123,-0.0038960937500000033
5,1,124,-0.001640625000000001
5,1,125,-0.0033445312500000016
5,1,126,-0.004081250000000001
5,1,127,-0.0016617187500000009
5,1,128,-0.004438281250000002
