id,name,agent,training_config,laydown,final_reward_avg
1,20240906_154818,hardcoded,,lay_down_config_1_DDOS_basic,-0.00911
2,20240906_160529,hardcoded,,lay_down_config_1_DDOS_basic,-0.00406
3,20240906_161245,random,,lay_down_config_1_DDOS_basic,-0.00929
4,20240906_161334,hardcoded,,lay_down_config_1_DDOS_basic,-0.00834
5,20240906_161431,do_nothing,,lay_down_config_1_DDOS_basic,-0.00653
6,20240906_161928,random,,from streamlit,-0.01385
7,20240909_093539,hardcoded,,lay_down_config_1_DDOS_basic,-0.00314
8,20240909_130828,hardcoded,,Random Protocol Test,-0.00211
