lay_down,num_nodes,num_edges,av_ep_reward
1880-0.yaml,38,60,
120-0.yaml,49,75,
386-0.yaml,38,60,
1498-0.yaml,23,36,
321-0.yaml,24,40,
1172-0.yaml,36,57,
1230-0.yaml,24,40,
1852-0.yaml,30,48,
1810-0.yaml,16,27,
1657-0.yaml,16,27,
1829-0.yaml,36,57,
238-0.yaml,23,36,
909-0.yaml,36,57,
1500-0.yaml,24,40,
767-0.yaml,36,57,
640-0.yaml,16,27,
1208-0.yaml,36,57,
102-0.yaml,49,75,
1454-0.yaml,39,64,
122-0.yaml,39,64,
1967-0.yaml,39,64,
326-0.yaml,36,57,
1665-0.yaml,36,57,
864-0.yaml,36,57,
1380-0.yaml,49,75,
1201-0.yaml,23,36,
1666-0.yaml,16,27,
1361-0.yaml,36,57,
1791-0.yaml,36,57,
1961-0.yaml,38,60,
882-0.yaml,36,57,
1625-0.yaml,39,64,
924-0.yaml,24,40,
727-0.yaml,30,48,
1150-0.yaml,30,48,
1682-0.yaml,38,60,
789-0.yaml,24,40,
521-0.yaml,38,60,
384-0.yaml,24,40,
1321-0.yaml,30,48,
1544-0.yaml,39,64,
1400-0.yaml,39,64,
210-0.yaml,49,75,
1178-0.yaml,38,60,
1385-0.yaml,38,60,
1284-0.yaml,24,40,
672-0.yaml,24,40,
452-0.yaml,36,57,
56-0.yaml,36,57,
1523-0.yaml,36,57,
502-0.yaml,30,48,
288-0.yaml,36,57,
1423-0.yaml,16,27,
372-0.yaml,49,75,
646-0.yaml,30,48,
1855-0.yaml,16,27,
1940-0.yaml,39,64,
135-0.yaml,36,57,
1246-0.yaml,23,36,
1455-0.yaml,24,40,
1522-0.yaml,16,27,
1651-0.yaml,23,36,
1928-0.yaml,36,57,
28-0.yaml,16,27,
1970-0.yaml,38,60,
1483-0.yaml,30,48,
972-0.yaml,36,57,
1604-0.yaml,36,57,
1736-0.yaml,38,60,
457-0.yaml,30,48,
680-0.yaml,39,64,
1032-0.yaml,24,40,
995-0.yaml,39,64,
1199-0.yaml,36,57,
1215-0.yaml,36,57,
1843-0.yaml,30,48,
1243-0.yaml,16,27,
1273-0.yaml,23,36,
1850-0.yaml,39,64,
707-0.yaml,39,64,
1960-0.yaml,30,48,
572-0.yaml,39,64,
1914-0.yaml,24,40,
1136-0.yaml,36,57,
1726-0.yaml,30,48,
160-0.yaml,30,48,
704-0.yaml,36,57,
501-0.yaml,24,40,
378-0.yaml,36,57,
132-0.yaml,24,40,
1009-0.yaml,16,27,
998-0.yaml,38,60,
356-0.yaml,39,64,
1283-0.yaml,39,64,
1052-0.yaml,38,60,
575-0.yaml,38,60,
711-0.yaml,36,57,
1551-0.yaml,49,75,
1599-0.yaml,24,40,
1804-0.yaml,23,36,
819-0.yaml,36,57,
904-0.yaml,23,36,
1367-0.yaml,38,60,
1164-0.yaml,49,75,
908-0.yaml,38,60,
889-0.yaml,30,48,
1170-0.yaml,36,57,
1485-0.yaml,36,57,
1329-0.yaml,24,40,
1721-0.yaml,36,57,
573-0.yaml,24,40,
1667-0.yaml,36,57,
1598-0.yaml,39,64,
222-0.yaml,24,40,
191-0.yaml,36,57,
1237-0.yaml,23,36,
413-0.yaml,38,60,
736-0.yaml,30,48,
1115-0.yaml,38,60,
1672-0.yaml,30,48,
634-0.yaml,23,36,
1777-0.yaml,23,36,
830-0.yaml,36,57,
411-0.yaml,24,40,
376-0.yaml,30,48,
673-0.yaml,30,48,
1565-0.yaml,38,60,
41-0.yaml,39,64,
528-0.yaml,24,40,
1016-0.yaml,38,60,
1457-0.yaml,38,60,
1350-0.yaml,36,57,
1392-0.yaml,24,40,
1146-0.yaml,49,75,
1661-0.yaml,39,64,
1310-0.yaml,39,64,
1389-0.yaml,49,75,
163-0.yaml,16,27,
979-0.yaml,30,48,
1394-0.yaml,38,60,
1320-0.yaml,24,40,
1185-0.yaml,24,40,
1274-0.yaml,39,64,
6-0.yaml,24,40,
153-0.yaml,36,57,
1193-0.yaml,39,64,
1130-0.yaml,39,64,
162-0.yaml,36,57,
480-0.yaml,49,75,
1854-0.yaml,36,57,
910-0.yaml,16,27,
574-0.yaml,30,48,
219-0.yaml,49,75,
1601-0.yaml,38,60,
1905-0.yaml,24,40,
758-0.yaml,36,57,
531-0.yaml,36,57,
1819-0.yaml,16,27,
18-0.yaml,36,57,
97-0.yaml,30,48,
1950-0.yaml,24,40,
834-0.yaml,24,40,
1756-0.yaml,16,27,
1875-0.yaml,49,75,
172-0.yaml,16,27,
86-0.yaml,39,64,
352-0.yaml,16,27,
1453-0.yaml,23,36,
1766-0.yaml,36,57,
145-0.yaml,16,27,
1113-0.yaml,24,40,
81-0.yaml,36,57,
84-0.yaml,49,75,
1287-0.yaml,36,57,
322-0.yaml,30,48,
204-0.yaml,24,40,
1369-0.yaml,16,27,
693-0.yaml,36,57,
732-0.yaml,49,75,
1628-0.yaml,38,60,
1339-0.yaml,30,48,
495-0.yaml,36,57,
1495-0.yaml,16,27,
73-0.yaml,16,27,
1099-0.yaml,16,27,
29-0.yaml,36,57,
622-0.yaml,16,27,
1411-0.yaml,30,48,
1368-0.yaml,36,57,
983-0.yaml,36,57,
350-0.yaml,38,60,
1775-0.yaml,36,57,
227-0.yaml,36,57,
563-0.yaml,39,64,
1059-0.yaml,24,40,
954-0.yaml,36,57,
1397-0.yaml,36,57,
119-0.yaml,36,57,
867-0.yaml,49,75,
607-0.yaml,23,36,
451-0.yaml,16,27,
1524-0.yaml,49,75,
1727-0.yaml,38,60,
1302-0.yaml,24,40,
8-0.yaml,38,60,
1091-0.yaml,36,57,
841-0.yaml,23,36,
1002-0.yaml,49,75,
