Episode,Average Reward
1,-0.04633984374999997
2,-0.04400000000000002
3,-0.049121093750000025
4,-0.04530859375000003
5,-0.043484375000000006
6,-0.044027343750000024
7,-0.04537500000000005
8,-0.04126953125000003
9,-0.04187109375000002
10,-0.0424140625
11,-0.0417578125
12,-0.04767968750000004
13,-0.04264453125000003
14,-0.04337890625000003
15,-0.04439843750000002
16,-0.04377343750000002
17,-0.04417187500000004
18,-0.04328125000000001
19,-0.04090234375000005
20,-0.044003906250000016
21,-0.03687109375000003
22,-0.03571093749999999
23,-0.04521093750000001
24,-0.032445312499999976
25,-0.030640624999999966
26,-0.03234375
27,-0.04082031249999999
28,-0.03621874999999999
29,-0.04483593750000001
30,-0.034484375000000005
31,-0.0140234375
32,-0.03202734375000001
33,-0.04260546875000002
34,-0.028605468749999963
35,-0.019062499999999975
36,-0.026324218749999965
37,-0.03768750000000001
38,-0.022499999999999992
39,-0.03175390624999998
40,-0.030757812499999933
41,-0.020624999999999977
42,-0.02363281250000002
43,-0.01906249999999998
44,-0.032996093750000004
45,-0.02923828124999998
46,-0.020624999999999998
47,-0.04102343750000002
48,-0.02122265625000002
49,-0.020003906250000005
50,-0.01676953125
51,-0.02051953125
52,-0.03902734374999999
53,-0.021007812499999997
54,-0.024652343750000014
55,-0.015757812500000003
56,-0.017882812500000008
57,-0.015249999999999993
58,-0.033636718749999996
59,-0.02744531250000001
60,-0.015835937499999973
61,-0.01805468749999999
62,-0.022683593750000015
63,-0.0211875
64,-0.024734374999999986
65,-0.018992187499999997
66,-0.03698437499999998
67,-0.020824218750000022
68,-0.01708593750000002
69,-0.02772656250000001
70,-0.01822656250000002
71,-0.018425781250000006
72,-0.018707031250000016
73,-0.023617187500000015
74,-0.01902734375000002
75,-0.024757812500000004
76,-0.01978125000000002
77,-0.013027343749999984
78,-0.014023437500000015
79,-0.027160156249999984
80,-0.024117187499999984
81,-0.01636718750000002
82,-0.009714843749999983
83,-0.007640624999999988
84,-0.01883984375000002
85,-0.01737109375000002
86,-0.010820312499999988
87,-0.009269531249999984
88,-0.008820312499999988
89,-0.007058593749999989
90,-0.02389843749999997
91,-0.020203125000000006
92,-0.010640624999999982
93,-0.024089843750000027
94,-0.029296874999999962
95,-0.0108515625
96,-0.025179687500000034
97,-0.008273437499999984
98,-0.006996093749999989
99,-0.022730468749999972
100,-0.006746093749999989
101,-0.03210156249999993
102,-0.01347265624999999
103,-0.019230468749999976
104,-0.02549218750000002
105,-0.008492187499999991
106,-0.024773437500000002
107,-0.007863281249999984
108,-0.01903125000000001
109,-0.02054296875000002
110,-0.015312499999999988
111,-0.008871093749999986
112,-0.00785546874999999
113,-0.016628906249999985
114,-0.014855468749999984
115,-0.017753906249999996
116,-0.020343750000000008
117,-0.016894531249999987
118,-0.009874999999999988
119,-0.02053906249999998
120,-0.009265624999999984
121,-0.008691406249999988
122,-0.025019531250000015
123,-0.0076679687499999925
124,-0.006886718749999993
125,-0.018765625
126,-0.006988281249999994
127,-0.018796875000000022
128,-0.017843749999999995
129,-0.021882812499999973
130,-0.014691406249999995
131,-0.009863281250000005
132,-0.01571875000000001
133,-0.019320312500000006
134,-0.01471484374999998
135,-0.014636718749999986
136,-0.009355468749999981
137,-0.006695312499999994
138,-0.00709374999999999
139,-0.01814062499999999
140,-0.01867578124999999
141,-0.016589843749999986
142,-0.009386718749999983
143,-0.010050781249999979
144,-0.008804687499999984
145,-0.006867187499999987
146,-0.02736328124999997
147,-0.00960156249999998
148,-0.007097656249999986
149,-0.02656640624999997
150,-0.016437499999999987
151,-0.017851562499999998
152,-0.007257812499999986
153,-0.008874999999999984
154,-0.02145312499999998
155,-0.00638671874999999
156,-0.026164062499999977
157,-0.01236328124999999
158,-0.02940234374999996
159,-0.014249999999999992
160,-0.01867187499999998
161,-0.006746093749999988
162,-0.016812499999999994
163,-0.028015625000000044
164,-0.013835937499999987
165,-0.016421874999999985
